2022-08-01 10:01:20,281 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-3] Status: 400 Message: Validation failed for object='product'. Error count: 1
2022-08-01 10:11:38,174 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-8] Status: 400 Message: JSON parse error: Unexpected close marker '}': expected ']' (for Array starting at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 22, column: 21]); nested exception is com.fasterxml.jackson.databind.JsonMappingException: Unexpected close marker '}': expected ']' (for Array starting at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 22, column: 21])
 at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 24, column: 2] (through reference chain: com.iknow.stocktrackingbe.payload.request.PrescriptionProductRequest["productIdList"]->java.util.ArrayList[3])
2022-08-01 10:15:34,883 WARN com.iknow.stocktrackingbe.service.ProductIngredientService [http-nio-8080-exec-1] Ingredient does not exist
2022-08-01 10:15:34,911 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-1] Status: 404 Message: Ingredient does not exist
2022-08-01 10:16:24,900 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-7] Status: 500 Message: could not execute statement; SQL [n/a]; constraint [product_ingredient.UK_1xpn3gpd294j531qgyw746u7s]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement
2022-08-01 10:18:27,326 WARN com.iknow.stocktrackingbe.service.ProductIngredientService [http-nio-8080-exec-6] Ingredient does not exist
2022-08-01 10:18:27,331 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-6] Status: 404 Message: Ingredient does not exist
2022-08-01 10:22:08,707 WARN com.iknow.stocktrackingbe.service.ProductIngredientService [http-nio-8080-exec-1] Ingredient does not exist
2022-08-01 10:22:08,748 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-1] Status: 404 Message: Ingredient does not exist
2022-08-01 10:22:14,037 WARN com.iknow.stocktrackingbe.service.ProductIngredientService [http-nio-8080-exec-3] Ingredient does not exist
2022-08-01 10:22:14,040 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-3] Status: 404 Message: Ingredient does not exist
2022-08-01 10:25:27,302 WARN com.iknow.stocktrackingbe.service.PrescriptionService [http-nio-8080-exec-2] Prescription does not exist
2022-08-01 10:25:27,321 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-2] Status: 404 Message: Prescription does not exist
2022-08-01 10:25:53,902 WARN com.iknow.stocktrackingbe.service.ProductIngredientService [http-nio-8080-exec-6] Ingredient does not exist
2022-08-01 10:25:53,904 ERROR com.iknow.stocktrackingbe.exception.ExceptionController [http-nio-8080-exec-6] Status: 404 Message: Ingredient does not exist
